Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-6783783~Interleukin-10 signaling	5	20.833333333333336	1.1289738681852882E-6	CXCL8, CSF1, IL1B, CCL3, ICAM1	20	47	10882	57.88297872340426	2.077097343504697E-4	2.0773119174609302E-4	2.0321529627335188E-4
REACTOME_PATHWAY	R-HSA-168256~Immune System	10	41.66666666666667	0.003876373879595639	VAV3, FCGR2A, CXCL8, CSF1, IL1B, C5AR1, CCL3, C3AR1, FBXL5, ICAM1	20	2016	10882	2.6989087301587302	0.5106311571736102	0.22869727597247344	0.2237255960600284
REACTOME_PATHWAY	R-HSA-375276~Peptide ligand-binding receptors	4	16.666666666666664	0.0048363238211115165	CXCL8, C5AR1, CCL3, C3AR1	20	201	10882	10.827860696517414	0.590182126548243	0.22869727597247344	0.2237255960600284
REACTOME_PATHWAY	R-HSA-5663205~Infectious disease	7	29.166666666666668	0.00601904142676461	VAV3, FCGR2A, IL1B, C3AR1, ANTXR2, ST3GAL1, HBEGF	20	1013	10882	3.7598223099703847	0.6707210821703777	0.22869727597247344	0.2237255960600284
REACTOME_PATHWAY	R-HSA-372790~Signaling by GPCR	6	25.0	0.006214599890556344	VAV3, CXCL8, C5AR1, CCL3, C3AR1, HBEGF	20	708	10882	4.611016949152543	0.6824291465085333	0.22869727597247344	0.2237255960600284
REACTOME_PATHWAY	R-HSA-449147~Signaling by Interleukins	5	20.833333333333336	0.0074776359764727775	CXCL8, CSF1, IL1B, CCL3, ICAM1	20	462	10882	5.888528138528139	0.748686720405769	0.22931416994516518	0.22432907929418333
REACTOME_PATHWAY	R-HSA-9658195~Leishmania infection	4	16.666666666666664	0.009234442668928719	VAV3, FCGR2A, IL1B, C3AR1	20	254	10882	8.568503937007874	0.8185964877732237	0.24273392158326917	0.2374570972010242
REACTOME_PATHWAY	R-HSA-6785807~Interleukin-4 and Interleukin-13 signaling	3	12.5	0.014948853829578293	CXCL8, IL1B, ICAM1	20	108	10882	15.113888888888887	0.9374228695942608	0.34382363808030075	0.3363492111655116
REACTOME_PATHWAY	R-HSA-373076~Class A/1 (Rhodopsin-like receptors)	4	16.666666666666664	0.019432442973804517	CXCL8, C5AR1, CCL3, C3AR1	20	335	10882	6.496716417910448	0.9729689010871733	0.3972855007977812	0.38864885947609035
REACTOME_PATHWAY	R-HSA-388396~GPCR downstream signalling	5	20.833333333333336	0.021839777553130883	VAV3, CXCL8, C5AR1, C3AR1, HBEGF	20	633	10882	4.297788309636651	0.9828035173781823	0.4018519069776082	0.3931159959563559
REACTOME_PATHWAY	R-HSA-1280215~Cytokine Signaling in Immune system	5	20.833333333333336	0.032463601461612576	CXCL8, CSF1, IL1B, CCL3, ICAM1	20	715	10882	3.804895104895105	0.9976943922574844	0.5430275153578831	0.5312225693718421
REACTOME_PATHWAY	R-HSA-9660826~Purinergic signaling in leishmaniasis infection	2	8.333333333333332	0.04446899109557759	IL1B, C3AR1	20	26	10882	41.853846153846156	0.9997682389208777	0.5998662257920178	0.5868256556661043
REACTOME_PATHWAY	R-HSA-9664424~Cell recruitment (pro-inflammatory response)	2	8.333333333333332	0.04446899109557759	IL1B, C3AR1	20	26	10882	41.853846153846156	0.9997682389208777	0.5998662257920178	0.5868256556661043
REACTOME_PATHWAY	R-HSA-500792~GPCR ligand binding	4	16.666666666666664	0.045641995440697004	CXCL8, C5AR1, CCL3, C3AR1	20	467	10882	4.660385438972163	0.9998151229672108	0.5998662257920178	0.5868256556661043
REACTOME_PATHWAY	R-HSA-5339562~Uptake and actions of bacterial toxins	2	8.333333333333332	0.0528030796496635	ANTXR2, HBEGF	20	31	10882	35.10322580645161	0.9999537607233252	0.6477177770358723	0.633636955795962
REACTOME_PATHWAY	R-HSA-977606~Regulation of Complement cascade	2	8.333333333333332	0.0790118324002593	C5AR1, C3AR1	20	47	10882	23.153191489361703	0.9999997353052569	0.8657919703218162	0.8469704057496027
REACTOME_PATHWAY	R-HSA-1643685~Disease	7	29.166666666666668	0.07999164943190692	VAV3, FCGR2A, IL1B, C3AR1, ANTXR2, ST3GAL1, HBEGF	20	1801	10882	2.1147695724597444	0.9999997823866426	0.8657919703218162	0.8469704057496027
REACTOME_PATHWAY	R-HSA-166658~Complement cascade	2	8.333333333333332	0.09663019994435243	C5AR1, C3AR1	20	58	10882	18.76206896551724	0.9999999924270605	0.89945682615633	0.8799034168920621
REACTOME_PATHWAY	R-HSA-380108~Chemokine receptors bind chemokines	2	8.333333333333332	0.09821593776967613	CXCL8, CCL3	20	59	10882	18.44406779661017	0.9999999945188687	0.89945682615633	0.8799034168920621
