Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
REACTOME_PATHWAY	R-HSA-1640170~Cell Cycle	13	54.166666666666664	1.8374590352414394E-11	RRM2, UBE2C, PLK1, HJURP, CDCA8, NCAPG, BUB1B, HMMR, NDC80, CDC20, CENPF, KIF2C, GTSE1	18	692	10882	11.357257546563906	2.388702569078305E-9	2.3886967458138714E-9	1.7823352641841962E-9
REACTOME_PATHWAY	R-HSA-69278~Cell Cycle, Mitotic	12	50.0	5.7951863958688695E-11	CDC20, CENPF, RRM2, UBE2C, PLK1, NCAPG, CDCA8, BUB1B, KIF2C, HMMR, GTSE1, NDC80	18	561	10882	12.93166963755199	7.53374251871719E-9	3.766871157314765E-9	2.8106654019964016E-9
REACTOME_PATHWAY	R-HSA-69618~Mitotic Spindle Checkpoint	8	33.33333333333333	1.9266773172058573E-10	CDC20, CENPF, UBE2C, PLK1, CDCA8, BUB1B, KIF2C, NDC80	18	113	10882	42.80039331366765	2.504680984838359E-8	8.348935041225381E-9	6.229589992298939E-9
REACTOME_PATHWAY	R-HSA-141444~Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	7	29.166666666666668	4.606466851648232E-9	CDC20, CENPF, PLK1, CDCA8, BUB1B, KIF2C, NDC80	18	96	10882	44.082175925925924	5.988405157308918E-7	1.0716384418518649E-7	7.996071450740838E-8
REACTOME_PATHWAY	R-HSA-141424~Amplification of signal from the kinetochores	7	29.166666666666668	4.606466851648232E-9	CDC20, CENPF, PLK1, CDCA8, BUB1B, KIF2C, NDC80	18	96	10882	44.082175925925924	5.988405157308918E-7	1.0716384418518649E-7	7.996071450740838E-8
REACTOME_PATHWAY	R-HSA-69620~Cell Cycle Checkpoints	9	37.5	4.946023577777838E-9	CDC20, CENPF, UBE2C, PLK1, CDCA8, BUB1B, KIF2C, GTSE1, NDC80	18	293	10882	18.56996587030717	6.429828616205668E-7	1.0716384418518649E-7	7.996071450740838E-8
REACTOME_PATHWAY	R-HSA-2467813~Separation of Sister Chromatids	8	33.33333333333333	7.708244361818756E-9	CDC20, CENPF, UBE2C, PLK1, CDCA8, BUB1B, KIF2C, NDC80	18	191	10882	25.3216986620128	1.0020712707392576E-6	1.4315310957663405E-7	1.0681424329948848E-7
REACTOME_PATHWAY	R-HSA-68877~Mitotic Prometaphase	8	33.33333333333333	1.2179794588916744E-8	CDC20, CENPF, PLK1, NCAPG, CDCA8, BUB1B, KIF2C, NDC80	18	204	10882	23.70806100217865	1.5833720563573905E-6	1.979216620698971E-7	1.4768000939061553E-7
REACTOME_PATHWAY	R-HSA-9648025~EML4 and NUDC in mitotic spindle formation	7	29.166666666666668	1.5258673951348803E-8	CDC20, CENPF, PLK1, CDCA8, BUB1B, KIF2C, NDC80	18	117	10882	36.16999050332384	1.9836256666128094E-6	2.204030681861494E-7	1.644545970312038E-7
REACTOME_PATHWAY	R-HSA-2500257~Resolution of Sister Chromatid Cohesion	7	29.166666666666668	2.3840316740587073E-8	CDC20, CENPF, PLK1, CDCA8, BUB1B, KIF2C, NDC80	18	126	10882	33.58641975308642	3.099236407955175E-6	3.0992411762763195E-7	2.312510723836946E-7
REACTOME_PATHWAY	R-HSA-68882~Mitotic Anaphase	8	33.33333333333333	3.3376875158735925E-8	CDC20, CENPF, UBE2C, PLK1, CDCA8, BUB1B, KIF2C, NDC80	18	236	10882	20.493408662900187	4.338984428864379E-6	3.722829450059765E-7	2.7778035127369016E-7
REACTOME_PATHWAY	R-HSA-2555396~Mitotic Metaphase and Anaphase	8	33.33333333333333	3.436457953901321E-8	CDC20, CENPF, UBE2C, PLK1, CDCA8, BUB1B, KIF2C, NDC80	18	237	10882	20.406938584153774	4.467385434914206E-6	3.722829450059765E-7	2.7778035127369016E-7
REACTOME_PATHWAY	R-HSA-5663220~RHO GTPases Activate Formins	7	29.166666666666668	4.486004149531943E-8	CDC20, CENPF, PLK1, CDCA8, BUB1B, KIF2C, NDC80	18	140	10882	30.227777777777778	5.8317885155423355E-6	4.4860041495319434E-7	3.347249250035373E-7
REACTOME_PATHWAY	R-HSA-68886~M Phase	9	37.5	7.949226932651371E-8	CDC20, CENPF, UBE2C, PLK1, NCAPG, CDCA8, BUB1B, KIF2C, NDC80	18	418	10882	13.016746411483254	1.0333942027096477E-5	7.381425008890559E-7	5.507678660479879E-7
REACTOME_PATHWAY	R-HSA-195258~RHO GTPase Effectors	8	33.33333333333333	3.114610375906422E-7	CDC20, CENPF, PLK1, KIF14, CDCA8, BUB1B, KIF2C, NDC80	18	327	10882	14.790349983010532	4.0489121490461244E-5	2.699328992452232E-6	2.0141147097528194E-6
REACTOME_PATHWAY	R-HSA-194315~Signaling by Rho GTPases	9	37.5	4.385425478823518E-6	CDC20, ANLN, CENPF, PLK1, KIF14, CDCA8, BUB1B, KIF2C, NDC80	18	707	10882	7.695898161244696	5.699440824661339E-4	3.563158201544109E-5	2.658664196536758E-5
REACTOME_PATHWAY	R-HSA-9716542~Signaling by Rho GTPases, Miro GTPases and RHOBTB3	9	37.5	5.18507535649728E-6	CDC20, ANLN, CENPF, PLK1, KIF14, CDCA8, BUB1B, KIF2C, NDC80	18	723	10882	7.525587828492393	6.738344154320064E-4	3.9650576255567435E-5	2.958542997530801E-5
REACTOME_PATHWAY	R-HSA-176814~Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	4	16.666666666666664	2.156876600310657E-4	CDC20, UBE2C, PLK1, BUB1B	18	77	10882	31.405483405483402	0.027652881149983877	0.0015577442113354745	0.001162316834611854
REACTOME_PATHWAY	R-HSA-176408~Regulation of APC/C activators between G1/S and early anaphase	4	16.666666666666664	2.506012990765244E-4	CDC20, UBE2C, PLK1, BUB1B	18	81	10882	29.854595336076816	0.032057168316509954	0.0017146404673656932	0.0012793855794959402
REACTOME_PATHWAY	R-HSA-174143~APC/C-mediated degradation of cell cycle proteins	4	16.666666666666664	3.2014307590601585E-4	CDC20, UBE2C, PLK1, BUB1B	18	88	10882	27.479797979797976	0.04077082834149015	0.001981838088942003	0.0014787561125182635
REACTOME_PATHWAY	R-HSA-453276~Regulation of mitotic cell cycle	4	16.666666666666664	3.2014307590601585E-4	CDC20, UBE2C, PLK1, BUB1B	18	88	10882	27.479797979797976	0.04077082834149015	0.001981838088942003	0.0014787561125182635
REACTOME_PATHWAY	R-HSA-141430~Inactivation of APC/C via direct inhibition of the APC/C complex	3	12.5	4.7405219339127736E-4	CDC20, UBE2C, BUB1B	18	21	10882	86.36507936507937	0.0597800078664692	0.00267942544090722	0.001999263598215387
